City,Country,Lat,Lng,Description,Humidity,MaxTemp,Cloudiness,WindSpeed,Hotel Name
Maceio,BR,-9.6658,-35.7353,clear sky,78,80.04,0,10.36,Hotel Praia Bonita
Sao Joao Da Barra,BR,-21.6403,-41.0511,broken clouds,75,77.09,54,8.48,Pousada Mediterrâneo
Umm Lajj,SA,25.0213,37.2685,clear sky,38,74.64,0,14.07,No Hotel Found
Kantang,TH,7.4054,99.5156,broken clouds,90,74.91,76,4.25,ธนะอินน์ โฮเต็ล
Luganville,VU,-15.5333,167.1667,scattered clouds,68,82.51,27,8.72,Deco Stop Lodge
Salalah,OM,17.0151,54.0924,clear sky,38,78.89,0,13.8,Al Andalus Hotel Apartments
Lorengau,PG,-2.0226,147.2712,overcast clouds,87,78.06,100,4.61,Seeadler Bay Hotel
Santa Rosa,PH,14.3122,121.1114,scattered clouds,96,78.78,27,7.47,Mariposa
Kahului,US,20.8947,-156.47,clear sky,63,80.83,0,6.91,Maui Seaside Hotel
Cururupu,BR,-1.8283,-44.8683,overcast clouds,83,77.14,100,3.69,No Hotel Found
Imbituba,BR,-28.24,-48.6703,few clouds,76,72.01,23,13.58,Hotel Recanto
Souillac,MU,-20.5167,57.5167,scattered clouds,83,75.58,40,8.05,Hotel SkylineInn
Ixtapa,MX,20.7,-105.2,clear sky,61,77.23,0,9.22,No Hotel Found
Richards Bay,ZA,-28.783,32.0377,light rain,96,73.74,93,2.71,Protea Hotel
Araouane,ML,18.9048,-3.5265,clear sky,14,73.51,0,5.44,No Hotel Found
Bubaque,GW,11.2833,-15.8333,clear sky,59,82.2,0,10.96,Casa Dora
Loa Janan,ID,-0.583,117.095,overcast clouds,99,72.45,100,1.1,Putri Ayu Cottage
